,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
78,3,5416,1874,50.87,35.3,1503,813,-1,1,46,50,1,46,50,4,1,1,1,False,,698,1142,True,False,1,,784,1292,9085,91,50,46,Right,0.40882261799999997,0.221907668,-1.0537477240000002,-0.70061497,0.837424135,1.8738337530000002,3000.0,Free,Incorrect to correct,4,7
82,3,2538,3736,54.5,64.62,1768,1757,1,1,50,50,2,50,44,6,0,1,3,True,,908,1334,True,True,1,,729,913,9641,159,44,44,Left,0.7605008000000001,0.474066641,1.298853911,0.995985852,2.316612561,-0.263026879,3000.0,Free,"Correct, no change",5,5
83,4,1553,2540,53.08,68.73,1099,3373,1,1,55,55,1,50,55,5,0,1,2,False,,602,912,False,False,1,,845,789,9801,160,50,50,Left,0.622929721,0.37542594100000004,1.628635381,1.233810865,1.5770183480000002,-0.994370772,3000.0,Free,"Correct, no change",5,5
87,4,4976,2415,28.58,43.05,548,1914,1,1,50,50,1,50,47,3,0,1,1,True,,812,948,True,True,1,,680,1258,10407,135,47,47,Right,-1.7506558030000001,-1.326473466,-0.431897019,-0.252161478,0.09782992199999999,1.547142065,3000.0,Free,"Correct, no change",6,6
89,4,2862,1790,45.2,61.07,990,1663,-1,1,50,54,0,54,50,4,1,1,2,True,,880,1516,False,True,1,,770,678,10622,107,54,50,Left,-0.140492889,-0.17196048100000003,1.0140061679999999,0.7905652209999999,0.837424135,-0.022463,3000.0,Free,Incorrect to correct,5,6
90,4,4703,3555,59.22,61.63,1778,1378,1,1,50,50,1,45,50,5,0,1,2,False,,853,1300,False,False,1,,660,1371,10781,159,45,45,Right,1.217779317,0.8019427720000001,1.0589398970000001,0.822969602,1.5770183480000002,1.344444722,3000.0,Free,"Correct, no change",6,9
91,4,2307,964,61.33,71.03,976,1273,1,1,50,50,2,50,45,5,0,1,1,True,,626,394,True,True,1,,596,760,10946,165,45,45,Right,1.422198315,0.948514517,1.8131846230000002,1.366900288,1.5770183480000002,-0.434540015,3000.0,Free,"Correct, no change",3,4
96,4,6641,1293,54.62,28.45,687,2584,1,-1,54,50,1,54,50,4,0,2,3,True,,874,1500,True,False,1,,609,949,11639,112,50,54,Right,0.772126525,0.482402475,-1.6033835090000002,-1.0969899909999998,0.837424135,2.783373112,3000.0,Free,Correct to incorrect,4,8
98,4,1836,3538,49.08,49.67,358,1133,1,1,50,50,1,50,47,3,0,2,2,True,,646,550,True,True,1,,704,1804,11945,148,47,47,Right,0.235405554,0.09756481300000001,0.099283841,0.130904601,0.09782992199999999,-0.784248618,3000.0,Free,"Correct, no change",1,5
104,5,1903,1622,43.13,57.68,1138,986,-1,-1,50,50,0,50,52,2,1,1,3,False,,1009,705,True,True,1,,520,1552,12646,49,52,52,Right,-0.341036645,-0.31575361399999996,0.741996634,0.594402984,-0.641764291,-0.734502384,3000.0,Free,"Incorrect, no change",4,6
105,5,1329,1272,47.78,68.53,363,1109,1,1,53,53,1,53,50,3,0,3,2,True,,1038,1356,True,True,1,,758,752,12803,157,50,50,Right,0.10946019900000001,0.007259946999999999,1.6125876209999999,1.222237872,0.09782992199999999,-1.16068654,3000.0,Free,"Correct, no change",2,6
108,5,3907,1530,41.27,57.67,821,994,1,1,50,50,2,50,46,4,0,1,2,True,,914,1369,True,True,1,,753,1070,13195,148,46,46,Left,-0.5212353829999999,-0.444959038,0.741194246,0.593824334,0.837424135,0.7534297590000001,3000.0,Free,"Correct, no change",4,6
109,5,4208,3012,30.13,45.42,623,1477,1,1,50,50,1,50,47,3,0,1,2,True,,1139,1049,True,True,1,,595,1226,13332,137,47,47,Left,-1.6004901880000002,-1.2188022790000002,-0.241731062,-0.115021507,0.09782992199999999,0.976916573,3000.0,Free,"Correct, no change",5,6
111,5,1968,5497,42.43,42.15,3326,996,-1,-1,48,48,0,48,50,2,1,2,2,False,,907,1105,True,True,1,,676,1564,13554,56,50,50,Right,-0.408853374,-0.36437931100000004,-0.50411194,-0.304239948,-0.641764291,-0.686241111,3000.0,Free,"Incorrect, no change",3,8
112,5,5070,8279,52.23,46.43,1052,926,1,1,53,53,1,50,53,3,0,1,3,False,,706,1406,False,False,1,,916,832,13703,149,50,50,Left,0.540580835,0.316380451,-0.160689873,-0.056577891,0.09782992199999999,1.6169352890000002,3000.0,Free,"Correct, no change",4,6
114,5,3724,2161,49.93,41.7,1098,1027,1,-1,50,48,1,50,48,2,0,1,2,True,,1163,900,True,False,1,,422,1505,13955,103,48,50,Right,0.317754439,0.156610303,-0.5402194,-0.33027918300000003,-0.641764291,0.617555716,3000.0,Free,Correct to incorrect,4,7
120,5,1678,1677,56.33,67.2,1130,1067,1,1,54,54,1,54,50,4,0,2,2,True,,916,1284,True,True,1,,581,852,14727,161,50,50,Right,0.937793106,0.601188107,1.505870016,1.145277466,0.837424135,-0.901560633,3000.0,Free,"Correct, no change",4,4
130,6,1969,1592,38.37,39.3,1587,471,1,1,50,50,1,50,48,2,0,1,2,True,,696,1377,True,True,1,,758,834,15952,138,48,48,Right,-0.8021904040000001,-0.646408356,-0.732792522,-0.46915510299999996,-0.641764291,-0.68549863,3000.0,Free,"Correct, no change",4,6
133,6,3179,3461,29.85,36.67,689,587,-1,-1,50,50,0,52,50,2,1,1,3,True,,1011,1030,False,False,1,,570,1180,16269,66,52,52,Right,-1.62761688,-1.238252558,-0.9438205679999999,-0.621339965,-0.641764291,0.212903512,3000.0,Free,"Incorrect, no change",3,6
134,6,3554,1890,40.07,40.02,1007,361,1,1,53,53,1,53,50,3,0,2,3,True,,760,741,True,True,1,,765,1394,16409,140,50,50,Right,-0.6374926329999999,-0.528317377,-0.675020585,-0.427492327,0.09782992199999999,0.491333928,3000.0,Free,"Correct, no change",2,6
137,6,3454,1626,41.63,40.53,2371,927,1,-1,50,48,2,48,50,2,0,2,2,False,,766,542,False,True,1,,733,1660,16807,99,48,50,Right,-0.48635820799999996,-0.41995153700000004,-0.634098797,-0.397981194,-0.641764291,0.417085817,3000.0,Free,Correct to incorrect,4,7
142,6,2211,1376,29.6,25.92,943,2926,-1,-1,47,47,1,50,47,3,1,1,2,True,,576,907,False,False,1,,1108,996,17274,72,50,50,Left,-1.65183714,-1.255618878,-1.806387675,-1.243388357,0.09782992199999999,-0.505818202,3000.0,Free,"Incorrect, no change",5,6
143,6,1778,1984,31.15,27.18,969,967,1,1,50,50,1,50,46,4,0,1,3,True,,738,1260,True,True,1,,904,1024,17402,128,46,46,Left,-1.501671526,-1.147947691,-1.7052867859999998,-1.1704784990000001,0.837424135,-0.827312522,3000.0,Free,"Correct, no change",3,4
146,7,1311,1572,42.08,54.0,791,1200,1,-1,50,46,1,46,50,4,0,2,3,False,,750,1152,False,True,1,,882,1027,17760,94,46,50,Left,-0.442761739,-0.38869216,0.446717848,0.381459906,0.837424135,-1.1740511999999999,3000.0,Free,Correct to incorrect,2,5
152,7,1497,2483,49.3,45.7,1020,2111,1,1,53,53,1,53,50,3,0,1,2,True,,1080,1484,True,True,1,,456,916,18571,146,50,50,Right,0.256719383,0.112847175,-0.21926419800000002,-0.09881931699999999,0.09782992199999999,-1.035949714,3000.0,Free,"Correct, no change",3,6
153,7,1781,1976,51.33,55.47,2201,658,1,1,53,53,2,50,53,3,0,1,4,False,,768,1144,False,False,1,,796,1276,18723,152,50,50,Right,0.45338789799999996,0.253861698,0.564668885,0.46652140700000005,0.09782992199999999,-0.825085079,3000.0,Free,"Correct, no change",5,6
155,7,2982,1951,44.43,28.1,1647,555,1,-1,52,50,2,50,52,2,0,1,2,False,,534,1404,False,True,1,,1103,940,18973,107,50,52,Left,-0.21509129100000002,-0.225448748,-1.631467089,-1.11724273,-0.641764291,0.066634733,3000.0,Free,Correct to incorrect,5,6
156,7,2562,1896,57.08,31.32,692,362,1,-1,51,50,1,50,51,1,0,1,2,False,,760,1158,False,True,1,,734,882,19085,112,50,51,Left,1.010453888,0.653287069,-1.373098151,-0.930917537,-1.3813585030000002,-0.245207333,3000.0,Free,Correct to incorrect,3,6
157,7,3103,2318,50.72,54.93,888,1080,1,1,50,50,2,49,50,1,0,2,2,False,,826,1292,False,False,1,,778,1154,19237,152,49,49,Left,0.394290462,0.21148787600000002,0.5213399320000001,0.435274325,-1.3813585030000002,0.156474947,3000.0,Free,"Correct, no change",3,6
158,7,4327,1305,50.97,35.28,1319,309,-1,-1,50,50,0,50,50,0,1,2,3,False,,758,1416,False,True,1,,728,862,19293,56,50,50,Left,0.418510723,0.228854196,-1.055352501,-0.7017722690000001,-2.120952716,1.065271825,3000.0,Free,"Incorrect, no change",3,5
161,7,1528,1816,56.82,50.27,1784,2048,1,1,53,53,1,53,50,3,0,2,2,True,,998,958,True,True,1,,416,1366,19588,153,50,50,Right,0.985264817,0.635226095,0.147427121,0.165623581,0.09782992199999999,-1.0129328000000002,3000.0,Free,"Correct, no change",4,7
168,8,1367,1463,59.08,58.27,1496,552,1,1,55,55,2,55,50,5,0,1,2,True,,720,970,True,True,1,,832,626,20421,158,50,50,Right,1.204215971,0.7922176320000001,0.789337526,0.628543314,1.5770183480000002,-1.132472258,3000.0,Free,"Correct, no change",4,4
170,8,4286,2082,24.85,28.3,824,1752,1,1,54,54,2,50,54,4,0,2,2,False,,562,834,False,False,1,,852,1876,20711,126,50,50,Right,-2.112022089,-1.5855789669999998,-1.615419329,-1.1056697359999998,0.837424135,1.0348301,3000.0,Free,"Correct, no change",2,8
171,8,1447,1863,66.35,69.25,1020,1034,1,1,50,50,1,50,47,3,0,1,2,True,,854,1091,True,True,1,,516,1070,20878,167,47,47,Right,1.908541145,1.297230232,1.6703595580000001,1.263900648,0.09782992199999999,-1.073073769,3000.0,Free,"Correct, no change",3,6
175,8,3491,1180,58.32,67.92,382,989,1,1,55,55,2,55,50,5,0,1,4,True,,604,942,True,True,1,,1001,1140,21374,162,50,50,Left,1.13058638,0.739424018,1.563641953,1.186940242,1.5770183480000002,0.444557618,3000.0,Free,"Correct, no change",4,4
176,8,1524,5059,59.75,35.83,2744,1144,1,1,50,50,1,50,46,4,0,2,3,True,,537,1298,True,True,1,,1078,1070,21520,146,46,46,Left,1.269126269,0.838759371,-1.01122116,-0.6699465370000001,0.837424135,-1.015902724,3000.0,Free,"Correct, no change",3,5
180,8,2765,2309,57.58,17.4,1629,675,-1,1,45,50,0,45,50,5,1,1,2,False,,838,1218,True,False,1,,614,1094,21940,79,50,45,Right,1.058894409,0.6880197090000001,-2.490022256,-1.736397873,1.5770183480000002,-0.094483667,3000.0,Free,Incorrect to correct,3,6
181,8,1135,1511,63.1,72.6,1450,1247,1,1,56,56,1,56,50,6,0,1,3,True,,564,1307,True,True,1,,618,1278,22107,167,50,50,Right,1.593677759,1.071468066,1.93915954,1.457748286,2.316612561,-1.304727875,3000.0,Free,"Correct, no change",2,5
189,0,1256,1569,68.45,72.38,875,973,-1,-1,49,49,0,50,49,1,1,1,4,True,,795,1246,False,False,2,,852,866,28,28,50,50,Right,0.22848833699999999,-0.073695005,-0.008511496,-0.36075922200000005,-1.61813798,-0.4554129,3000.0,Free,"Incorrect, no change",2,4
192,0,1032,1571,70.45,57.08,403,799,1,-1,53,50,1,53,50,3,0,1,4,True,,1168,1006,True,False,2,,484,1046,429,106,50,53,Right,0.329739895,0.009980143,-0.7503045709999999,-1.06993207,0.180850715,-0.949072275,3000.0,Free,Correct to incorrect,2,2
193,0,1346,1328,68.75,78.58,509,418,1,1,53,53,2,53,50,3,0,1,3,True,,946,854,True,True,2,,753,1182,602,173,50,50,Left,0.24367607100000002,-0.061143733,0.29208439,-0.07338199,0.180850715,-0.257067616,3000.0,Free,"Correct, no change",1,3
200,0,1502,1515,83.73,76.03,1093,2720,1,-1,50,49,1,49,50,1,0,1,1,False,,920,653,False,True,2,,809,816,1564,102,49,50,Left,1.00205024,0.565583127,0.16845221100000002,-0.19157746399999998,-1.61813798,0.086730877,3000.0,Free,Correct to incorrect,1,3
202,0,1397,1642,76.72,55.97,472,655,-1,-1,50,50,0,50,50,0,1,1,4,False,,868,914,True,True,2,,772,1077,1782,33,50,50,Left,0.647163529,0.272301733,-0.8041209309999999,-1.121381865,-2.517632327,-0.144671954,3000.0,Free,"Incorrect, no change",2,2
206,0,1220,1368,79.77,81.32,10914,1009,1,1,53,53,1,50,53,3,0,1,3,False,,962,1324,False,False,2,,731,620,2211,179,50,50,Left,0.801572155,0.399906334,0.42492837899999997,0.053620207,0.180850715,-0.534751014,3000.0,Free,"Correct, no change",2,4
208,0,1045,1432,87.75,66.5,792,843,1,1,50,50,1,48,50,2,0,1,3,False,,938,940,False,False,2,,702,1046,2529,176,48,48,Left,1.205565871,0.733770175,-0.293592756,-0.633304081,-0.718643632,-0.9204224,3000.0,Free,"Correct, no change",1,1
210,1,2407,1512,59.25,55.83,1032,890,1,1,53,53,1,53,50,3,0,1,4,True,,816,836,True,True,2,,822,1429,2719,156,50,50,Right,-0.237268829,-0.458600687,-0.81090858,-1.127871028,0.180850715,2.081202905,3000.0,Free,"Correct, no change",2,3
211,1,932,1583,83.33,100.73,515,799,1,1,50,50,2,47,50,3,0,1,4,False,,932,1032,False,False,2,,734,986,2910,191,47,47,Left,0.9817999279999999,0.548848097,1.365987436,0.953296349,0.180850715,-1.169455924,3000.0,Free,"Correct, no change",2,2
212,1,1189,1462,41.05,64.75,755,387,1,1,50,50,1,50,48,2,0,1,3,True,,792,841,True,True,2,,888,996,3062,152,48,48,Right,-1.158658007,-1.220044535,-0.37843837,-0.7144186229999999,-0.718643632,-0.603069945,3000.0,Free,"Correct, no change",2,4
216,1,1879,1364,59.27,75.12,584,480,1,1,50,50,1,47,50,3,0,0,3,False,,632,1005,False,False,2,,722,1214,3506,166,47,47,Right,-0.236256314,-0.457763935,0.12433249199999999,-0.233757026,0.180850715,0.917577236,3000.0,Free,"Correct, no change",1,3
219,1,1131,1199,56.57,90.13,560,411,1,1,50,50,2,50,46,4,0,1,2,True,,588,1283,True,True,2,,892,550,3907,173,46,46,Right,-0.372945917,-0.570725385,0.852065436,0.461973984,1.080345063,-0.730892462,3000.0,Free,"Correct, no change",2,2
220,1,1479,1422,68.07,33.83,501,453,-1,1,50,53,0,53,50,3,1,1,4,True,,970,1640,False,True,2,,768,1034,3988,81,53,50,Left,0.209250541,-0.08959328300000001,-1.877539145,-2.147596692,0.180850715,0.036042637999999995,3000.0,Free,Incorrect to correct,2,2
230,2,1482,1569,23.82,81.08,456,1046,1,1,53,53,1,50,53,3,0,1,3,False,,882,1176,False,False,2,,811,994,5466,151,50,50,Left,-2.0309401780000003,-1.940905937,0.41329240899999997,0.042495927,0.180850715,0.042654147999999996,3000.0,Free,"Correct, no change",0,2
231,2,1537,1394,71.25,96.17,482,671,1,1,50,50,2,50,47,3,0,1,4,True,,918,796,True,True,2,,793,1176,5649,183,47,47,Left,0.37024051799999996,0.043450202,1.14490401,0.74193503,0.180850715,0.163865155,3000.0,Free,"Correct, no change",1,1
233,2,1453,1475,82.23,75.52,970,730,-1,-1,50,50,1,52,50,2,1,1,3,True,,964,1253,False,False,2,,764,1102,5818,20,52,52,Left,0.926111571,0.502826766,0.143725775,-0.21521655899999997,-0.718643632,-0.021257111000000002,3000.0,Free,"Incorrect, no change",1,1
235,2,1511,1418,79.28,84.02,879,696,-1,-1,50,50,1,53,50,3,1,1,4,True,,980,1242,False,False,2,,774,984,6010,17,53,53,Left,0.776765523,0.379405922,0.555833039,0.17876835600000002,0.180850715,0.106565406,3000.0,Free,"Incorrect, no change",1,3
