0,14
2,19
4,18
5,12
6,13
7,12
9,16
11,12
12,17
14,15
15,11
17,11
18,12
20,12
21,10
22,9
24,14
25,17
28,12
29,13
30,10
31,12
32,11
34,16
35,14
37,17
38,20
40,8
43,11
44,12
46,15
49,14
50,16
51,11
53,19
54,11
55,15
56,15
57,11
58,11
61,7
62,16
63,8
64,14
65,12
66,14
67,14
68,12
70,13
72,22
73,16
74,20
76,16
79,15
80,12
81,14
84,16
85,10
86,12
88,9
92,10
93,10
94,15
95,11
97,11
99,10
100,10
101,19
102,16
103,20
106,8
107,10
110,9
113,12
115,8
116,19
117,21
118,13
119,13
121,10
122,14
123,16
124,4
125,12
126,11
127,12
128,10
129,11
131,16
132,16
135,10
136,12
138,9
139,14
140,15
141,13
144,6
145,7
147,11
148,6
149,4
150,11
151,11
154,15
159,15
160,4
162,15
163,15
164,15
165,8
166,11
167,10
169,9
172,13
173,9
174,11
177,10
178,9
179,7
182,13
183,8
184,14
185,10
186,13
187,8
188,12
190,3
191,4
194,3
195,1
196,6
197,7
198,9
199,10
201,6
203,6
204,4
205,5
207,8
209,9
213,9
214,6
215,6
217,3
218,2
221,6
222,2
223,2
224,5
225,4
226,4
227,5
228,4
229,3
232,3
234,6
236,2
237,3
238,3
239,6
240,3
242,4
243,4
244,0
247,4
248,3
249,2
251,3
256,1
257,3
258,3
259,2
260,6
261,4
262,3
263,7
264,3
265,5
268,4
270,1
271,5
272,6
273,3
274,7
275,1
276,2
277,0
279,4
280,2
284,3
285,1
286,6
287,4
288,8
290,1
293,1
294,2
296,0
297,5
298,4
300,3
301,4
302,6
303,5
304,2
306,5
309,2
310,2
311,2
312,6
316,4
321,2
322,4
323,4
324,2
325,3
326,1
327,2
328,3
330,1
331,0
332,1
333,4
335,4
336,2
338,2
340,0
341,4
342,3
343,2
346,4
347,1
348,2
349,6
350,8
351,0
352,0
353,3
357,4
359,0
360,1
361,0
362,2
363,3
364,1
365,2
366,4
367,5
368,2
371,6
374,2
377,4
465,4
467,11
