,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second,RightFirst,Left_IA_Second_Dwell_Time_REVISED,Right_IA_Second_Dwell_Time_REVISED,Left_Gazetime_New,Right_Gazetime_New,LeftLonger,LEFT_PRESENTATION_TIME_REV,RIGHT_PRESENTATION_TIME_REV
2140,3,1638,1129,67.05,66.38,1364,975,1,1,50,50,1,50,47,3,0,1,1,True,2250,722,558,True,True,15,750,826,2600,10661,166,47,47,Left,0.6977911640000001,0.841391564,0.345543301,0.12374787300000001,-1.104633758,0.687922739,,Fixed,"Correct, no change",2,6,0,558.0,2600.0,624,2600,99,750.0,2250.0
2141,3,1429,1372,23.85,22.28,714,1054,1,1,53,53,2,50,53,3,0,1,1,False,3750,902,1048,False,False,15,1250,708,2721,10783,122,50,50,Left,-1.518336011,-1.403456359,-1.740187577,-1.836809474,-1.104633758,-0.103152552,,Fixed,"Correct, no change",3,7,0,1048.0,2721.0,1048,3025,99,1250.0,3750.0
2142,3,1416,1790,8.83,15.3,818,637,-1,-1,50,50,0,52,50,2,1,1,1,True,1750,900,4792,False,False,15,5250,700,1414,10870,87,52,52,Left,-2.2888505980000002,-2.183956724,-2.070310061,-2.147119911,-1.768812284,-0.152358193,,Fixed,"Incorrect, no change",4,17,0,4792.0,1414.0,4792,1817,99,5250.0,1750.0
2143,4,1568,1357,32.27,53.85,624,526,1,1,53,53,1,53,50,3,0,1,1,True,2250,892,1266,True,True,15,750,708,1994,11012,142,50,50,Right,-1.086396408,-0.96591887,-0.247069123,-0.433299373,-1.104633758,0.42296929200000005,,Fixed,"Correct, no change",3,8,1,1994.0,1266.0,1589,1994,99,750.0,2250.0
2144,4,1279,2166,55.88,62.68,412,676,1,1,53,53,2,50,53,3,0,1,1,False,3750,876,1064,False,False,15,1250,712,3357,11170,158,50,50,Left,0.12477865199999999,0.26095287699999997,0.170550007,-0.040743333,-1.104633758,-0.670909938,,Fixed,"Correct, no change",1,5,0,1064.0,3357.0,1064,3715,99,1250.0,3750.0
2145,4,1392,1371,22.8,42.2,851,469,-1,1,48,50,0,50,48,2,1,1,1,True,750,962,1942,False,True,15,2250,687,1216,11279,109,50,48,Left,-1.5722002130000001,-1.458018634,-0.7980615209999999,-0.9512243859999999,-1.768812284,-0.243199374,,Fixed,Incorrect to correct,1,8,0,1942.0,1216.0,2009,1494,99,2250.0,750.0
2146,4,1573,1379,4.05,13.58,1798,605,1,1,53,53,1,50,53,3,0,1,1,False,1750,912,4596,False,False,15,5250,707,1380,11387,108,50,50,Left,-2.5340609659999997,-2.43234499,-2.151658295,-2.223586093,-1.104633758,0.44189453799999995,,Fixed,"Correct, no change",2,16,0,4596.0,1380.0,4596,1761,99,5250.0,1750.0
2147,4,3512,1237,45.5,69.63,984,844,1,1,50,50,2,50,47,3,0,1,1,True,750,862,1804,True,True,15,2250,724,1257,11543,156,47,47,Left,-0.407707461,-0.27843419399999997,0.499253626,0.268233392,-1.104633758,7.7811050139999995,,Fixed,"Correct, no change",3,7,0,1804.0,1257.0,1871,1480,99,2250.0,750.0
2148,4,1683,1311,47.95,46.4,622,556,-1,-1,48,48,0,50,48,2,1,1,1,True,1500,960,1240,False,False,15,1500,655,1882,11595,52,50,50,Left,-0.282024323,-0.151122217,-0.599420485,-0.7645046390000001,-1.768812284,0.858249954,,Fixed,"Incorrect, no change",2,8,0,1240.0,1882.0,1240,2173,99,1500.0,1500.0
2149,4,1262,1559,21.12,52.38,474,979,-1,-1,50,50,0,53,50,3,1,1,1,True,1250,938,3346,False,False,15,3750,718,972,11657,62,53,53,Right,-1.658382936,-1.545318276,-0.31659348600000004,-0.498651285,-1.104633758,-0.735255775,,Fixed,"Incorrect, no change",2,10,1,972.0,3346.0,3582,1039,99,3750.0,1250.0
