BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
0,1630,2301,44.97,48.07,2641,1039,1,1,50,50,2,50,47,3,0,1,2,TRUE,,749,1340,TRUE,TRUE,1,,708,1100,2217,146,47,47,Right,-0.162775528,-0.187937495,-0.02909824,0.038320654,0.097829922,-0.937199726,3000,Free,"Correct, no change",5,7
1,4509,1982,35.88,38.05,4958,3656,-1,1,50,52,0,50,52,2,1,1,4,FALSE,,596,2122,TRUE,FALSE,1,,842,2327,2318,101,52,50,Right,-1.043424198,-0.819376908,-0.833091023,-0.541486311,-0.641764291,1.200403387,5000,Free,Incorrect to correct,4,12
1,1268,1439,64.65,66.32,1220,2644,1,1,50,50,1,50,47,3,0,1,3,TRUE,,932,2866,TRUE,TRUE,1,,730,1472,2483,165,47,47,Left,1.743843374,1.179139253,1.435259872,1.094356295,0.097829922,-1.205977888,7000,Free,"Correct, no change",3,10
1,2840,3073,28.88,31.77,2951,1177,1,1,53,53,2,50,53,3,0,1,4,FALSE,,812,1833,FALSE,FALSE,1,,710,2150,2612,129,50,50,Right,-1.72159149,-1.305633881,-1.336990691,-0.904878302,0.097829922,-0.038797584,5000,Free,"Correct, no change",4,9
1,1662,2404,39.63,52.1,840,1190,-1,1,50,52,0,52,50,2,1,1,2,TRUE,,999,1257,FALSE,TRUE,1,,857,954,2718,106,52,50,Left,-0.680120291,-0.558882101,0.294264126,0.27151647,-0.641764291,-0.913440331,3000,Free,Incorrect to correct,6,7
1,6142,1885,49.63,48.9,2520,413,1,-1,53,50,1,50,53,3,0,2,7,FALSE,,785,3070,FALSE,TRUE,1,,818,2455,2817,99,50,53,Left,0.288690127,0.135770718,0.037499964,0.086348577,0.097829922,2.412875038,7000,Free,Correct to incorrect,6,14
1,1495,2861,56.1,65.85,1300,1182,1,1,53,53,2,53,50,3,0,1,6,TRUE,,938,2482,TRUE,TRUE,1,,733,2752,2977,160,50,50,Left,0.915510467,0.585211092,1.397547635,1.067159761,0.097829922,-1.037434676,7000,Free,"Correct, no change",5,17
1,3278,2555,43.13,40.88,589,1844,1,1,50,50,1,48,50,2,0,2,1,FALSE,,911,802,FALSE,FALSE,1,,800,1518,3118,141,48,48,Right,-0.341036645,-0.315753614,-0.606015217,-0.377728456,-0.641764291,0.286409142,3000,Free,"Correct, no change",5,10
1,1247,2160,46.5,38.88,2942,2348,1,1,52,52,2,50,52,2,0,2,1,FALSE,,742,1468,FALSE,FALSE,1,,784,814,3260,142,50,50,Left,-0.014547534,-0.081655614,-0.766492818,-0.493458389,-0.641764291,-1.221569991,3000,Free,"Correct, no change",4,8
1,2091,3409,38.73,37.82,1927,1283,1,-1,50,49,1,49,50,1,0,1,4,FALSE,,592,2389,FALSE,TRUE,1,,994,2064,3360,100,49,50,Left,-0.767313229,-0.621400855,-0.851545947,-0.554795254,-1.381358503,-0.594915935,5000,Free,Correct to incorrect,4,12
