subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,Session,gaze_L_bin3,gaze_R_bin3,trial_og
1,66,1405.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,122
1,67,2034.0000000000002,1,4.6,5.0,0.5,0.5,Free,0.5,0.5,123
1,68,2005.9999999999998,1,5.0,4.7,0.5,0.5,Free,0.5,0.5,124
1,69,2209.0,1,5.0,5.3,0.5,0.5,Free,0.5,0.5,125
1,70,2705.0,1,5.0,5.3,0.75,0.25,Free,0.75,0.25,128
1,71,2054.0000000000005,0,5.4,5.0,0.75,0.25,Free,0.75,0.25,129
1,72,4536.000000000001,1,4.7,5.0,0.5,0.5,Free,0.5,0.5,132
1,73,2131.0,1,4.7,5.0,0.5,0.5,Free,0.5,0.5,135
1,74,983.0,0,5.2,5.0,0.75,0.25,Free,0.75,0.25,137
1,75,2467.0,0,5.3,5.0,0.25,0.75,Free,0.25,0.75,138
1,76,1894.0000000000002,1,4.7,5.0,0.5,0.5,Free,0.5,0.5,139
1,77,1739.0,1,5.0,5.2,0.25,0.75,Free,0.25,0.75,140
1,78,4622.0,1,4.7,5.0,0.25,0.75,Free,0.25,0.75,141
1,79,2188.0,0,5.0,4.6,0.5,0.5,Free,0.5,0.5,143
1,80,2378.0,0,5.3,5.0,0.25,0.75,Free,0.25,0.75,144
1,81,1755.0,0,4.7,5.0,0.5,0.5,Free,0.5,0.5,145
1,82,1643.0,0,5.0,5.2,0.75,0.25,Free,0.75,0.25,146
1,83,1800.0,0,4.7,5.0,0.5,0.5,Free,0.5,0.5,147
1,84,1962.0,0,5.0,4.6,0.25,0.75,Free,0.25,0.75,148
1,85,2148.0,0,4.6,5.0,0.25,0.75,Free,0.25,0.75,149
1,86,2907.0,0,5.3,5.0,0.25,0.75,Free,0.25,0.75,150
1,87,1795.0,0,5.3,5.0,0.25,0.75,Free,0.25,0.75,151
1,88,1781.0,0,5.0,4.8,0.5,0.5,Free,0.5,0.5,153
1,89,1446.9999999999998,0,5.0,4.9,0.5,0.5,Free,0.5,0.5,154
1,90,1655.0,0,5.3,5.0,0.25,0.75,Free,0.25,0.75,157
1,91,1787.0,0,5.0,4.8,0.25,0.75,Free,0.25,0.75,158
1,92,1723.0,1,5.0,5.1,0.25,0.75,Free,0.25,0.75,160
1,93,1426.0,0,5.0,5.2,0.25,0.75,Free,0.25,0.75,161
1,94,1337.0,0,5.0,5.2,0.5,0.5,Free,0.5,0.5,162
1,95,902.0,0,5.3,5.0,0.75,0.25,Free,0.75,0.25,163
1,96,2635.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,166
1,97,822.0000000000001,0,5.3,5.0,0.75,0.25,Free,0.75,0.25,167
1,98,2356.9999999999995,0,5.0,4.6,0.25,0.75,Free,0.25,0.75,169
